measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Number,2000,3373.61381095,4430.09921965,2333.71762698
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Number,2000,7772.70629454,9923.81936017,6065.88159691
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Percent,2000,0.00426383031629,0.00561530555897,0.00304748133567
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Percent,2000,0.0107547296643,0.0133509520081,0.00851379095143
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Rate,2000,5.48246745742,7.1993642918,3.79252980978
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Rate,2000,12.952590075100002,16.5372470387,10.1083039538
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Number,2000,2928.01628499,3806.97392926,2020.1102427
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Number,2000,4155.36520063,6533.110865,2920.30043151
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Percent,2000,0.00370159873603,0.00484038465948,0.00258214959637
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Percent,2000,0.00574882398623,0.00900979855065,0.00414213186265
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Rate,2000,4.758325907110001,6.186721968790001,3.2828857381500005
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Rate,2000,6.9245819945700005,10.8869039615,4.86644586225
Deaths,Nigeria,Male,All Ages,Asthma,Number,2000,1502.42756571,2194.61985348,987.725539462
Deaths,Nigeria,Female,All Ages,Asthma,Number,2000,2172.46266141,3302.91437487,1461.14377991
Deaths,Nigeria,Male,All Ages,Asthma,Percent,2000,0.00189865786368,0.00269878064866,0.00126228962339
Deaths,Nigeria,Female,All Ages,Asthma,Percent,2000,0.00300517564779,0.00456699509178,0.00210632551704
Deaths,Nigeria,Male,All Ages,Asthma,Rate,2000,2.44159844539,3.56648170252,1.60515501489
Deaths,Nigeria,Female,All Ages,Asthma,Rate,2000,3.6202343483,5.50404123478,2.4348786259
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2000,62.8004975396,105.635744111,24.5072401205
Deaths,Nigeria,Female,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2000,52.5488262559,99.1448244564,28.8475980259
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Percent,2000,7.93344059777e-05,0.000131845852666,3.28150953747e-05
Deaths,Nigeria,Female,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Percent,2000,7.26953742619e-05,0.000137929901516,4.12762267395e-05
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Rate,2000,0.10205723101799999,0.171668887396,0.039826771516000004
Deaths,Nigeria,Female,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Rate,2000,0.0875683937653,0.165216878214,0.0480722026181
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Number,2001,3405.90989953,4450.84888951,2370.19678577
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Number,2001,7671.07447441,9826.06829698,5976.18044292
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Percent,2001,0.00424270529813,0.00560273337612,0.00300781956743
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Percent,2001,0.0104733930865,0.013042085881,0.00835267998221
Deaths,Nigeria,Male,All Ages,Ischemic stroke,Rate,2001,5.39949550901,7.056069978099999,3.7575471101
Deaths,Nigeria,Female,All Ages,Ischemic stroke,Rate,2001,12.4799091916,15.985823168,9.72252185648
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Number,2001,2983.00884908,3899.29783598,2028.82924308
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Number,2001,4154.43324888,6474.18016891,2931.42279204
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Percent,2001,0.00371680653595,0.00490215501263,0.00259681645785
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Percent,2001,0.00567086048718,0.00872561014205,0.00406162816792
Deaths,Nigeria,Male,All Ages,Chronic obstructive pulmonary disease,Rate,2001,4.72905724435,6.181678839070001,3.2163664658599997
Deaths,Nigeria,Female,All Ages,Chronic obstructive pulmonary disease,Rate,2001,6.75875978803,10.5327071022,4.76906988309
Deaths,Nigeria,Male,All Ages,Asthma,Number,2001,1486.00375554,2210.23241764,970.278410867
Deaths,Nigeria,Female,All Ages,Asthma,Number,2001,2155.2896459,3239.03521373,1461.35959703
Deaths,Nigeria,Male,All Ages,Asthma,Percent,2001,0.00185083337178,0.00275877659773,0.00122357532766
Deaths,Nigeria,Female,All Ages,Asthma,Percent,2001,0.00294173268639,0.00441869884579,0.00206074918356
Deaths,Nigeria,Male,All Ages,Asthma,Rate,2001,2.35580823952,3.50395059322,1.53821271746
Deaths,Nigeria,Female,All Ages,Asthma,Rate,2001,3.5063952451700002,5.26951804086,2.37745509159
Deaths,Nigeria,Male,All Ages,Interstitial lung disease and pulmonary sarcoidosis,Number,2001,62.055571805,102.65057583,25.8600092028
